comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Chiusano D'Asti,005038,Asti,3,13.45
Chivasso,001082,Torino,187,6.95
Ciconio,001083,Torino,2,5.15
Cigliano,002042,Vercelli,32,7.23
Ciglie',004069,Cuneo,2,10.81
Cinaglio,005039,Asti,0,0.0
Cintano,001084,Torino,1,3.97
Cinzano,001085,Torino,3,9.09
Cirie',001086,Torino,115,6.19
Cissone,004070,Cuneo,0,0.0
Cisterna D'Asti,005040,Asti,1,0.82
Civiasco,002043,Vercelli,0,0.0
Clavesana,004071,Cuneo,11,13.66
Claviere,001087,Torino,2,9.52
Coassolo Torinese,001088,Torino,10,6.68
Coazze,001089,Torino,19,5.87
Coazzolo,005041,Asti,0,0.0
Cocconato,005042,Asti,9,6.23
Coggiola,096019,Biella,7,3.89
Colazza,003051,Novara,3,6.65
Collegno,001090,Torino,418,8.41
Colleretto Castelnuovo,001091,Torino,0,0.0
Colleretto Giacosa,001092,Torino,6,10.47
Collobiano,002045,Vercelli,1,11.36
Comignago,003052,Novara,6,4.77
Condove,001093,Torino,17,3.7
Coniolo,006060,Alessandria,2,4.42
Conzano,006061,Alessandria,4,4.14
Corio,001094,Torino,24,7.48
Corneliano D'Alba,004072,Cuneo,7,3.26
Corsione,005044,Asti,1,4.48
Cortandone,005045,Asti,0,0.0
Cortanze,005046,Asti,0,0.0
Cortazzone,005047,Asti,0,0.0
Cortemilia,004073,Cuneo,10,4.4
Cortiglione,005048,Asti,0,0.0
Cossano Belbo,004074,Cuneo,0,0.0
Cossano Canavese,001095,Torino,3,6.17
Cossato,096020,Biella,51,3.51
Cossogno,103023,Verbano-Cusio-Ossola,3,4.42
Cossombrato,005049,Asti,2,3.94
Costa Vescovato,006062,Alessandria,1,3.06
Costanzana,002047,Vercelli,3,3.96
Costigliole D'Asti,005050,Asti,17,2.95
Costigliole Saluzzo,004075,Cuneo,11,3.33
Cravagliana,002048,Vercelli,2,8.0
Cravanzana,004076,Cuneo,0,0.0
Craveggia,103024,Verbano-Cusio-Ossola,12,15.75
Cremolino,006063,Alessandria,8,7.49
Crescentino,002049,Vercelli,55,7.06
Cressa,003055,Novara,13,8.1
Crevacuore,096021,Biella,6,4.01
Crevoladossola,103025,Verbano-Cusio-Ossola,29,6.3
Crissolo,004077,Cuneo,0,0.0
Crodo,103026,Verbano-Cusio-Ossola,10,7.15
Crova,002052,Vercelli,2,4.87
Cuceglio,001096,Torino,18,18.2
Cumiana,001097,Torino,38,4.81
Cuneo,004078,Cuneo,412,7.34
Cunico,005051,Asti,3,6.21
Cuorgne',001098,Torino,46,4.75
Cureggio,003058,Novara,3,1.14
Curino,096023,Biella,1,2.08
Demonte,004079,Cuneo,7,3.57
Denice,006065,Alessandria,1,5.78
Dernice,006066,Alessandria,0,0.0
Desana,002054,Vercelli,7,6.58
Diano D'Alba,004080,Cuneo,10,2.76
Divignano,003060,Novara,3,2.12
Dogliani,004081,Cuneo,30,6.4
Domodossola,103028,Verbano-Cusio-Ossola,134,7.38
Donato,096024,Biella,0,0.0
Dormelletto,003062,Novara,14,5.42
Dorzano,096025,Biella,1,1.88
Dronero,004082,Cuneo,32,4.56
Druento,001099,Torino,60,6.77
Druogno,103029,Verbano-Cusio-Ossola,16,15.04
Dusino San Michele,005052,Asti,3,2.87
Elva,004083,Cuneo,0,0.0
Entracque,004084,Cuneo,2,2.33
Envie,004085,Cuneo,3,1.51
Exilles,001100,Torino,3,11.95
Fabbrica Curone,006067,Alessandria,4,6.56
Fara Novarese,003065,Novara,9,4.42
Farigliano,004086,Cuneo,16,9.0
Faule,004087,Cuneo,1,2.05
Favria,001101,Torino,30,5.72
Feisoglio,004088,Cuneo,0,0.0
Feletto,001102,Torino,19,8.39
Felizzano,006068,Alessandria,20,8.88
