Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
1025,Bibiana,Torino,33,9.53,3463,Dati aggiornati al 14.10.2022 ore 18:30
96004,Biella,Biella,489,11.12,43975,Dati aggiornati al 14.10.2022 ore 18:30
96005,Bioglio,Biella,5,5.64,887,Dati aggiornati al 14.10.2022 ore 18:30
6017,Bistagno,Alessandria,15,8.36,1794,Dati aggiornati al 14.10.2022 ore 18:30
1026,Bobbio Pellice,Torino,5,9.17,545,Dati aggiornati al 14.10.2022 ore 18:30
3019,Boca,Novara,21,17.53,1198,Dati aggiornati al 14.10.2022 ore 18:30
2014,Boccioleto,Vercelli,1,5.62,178,Dati aggiornati al 14.10.2022 ore 18:30
103012,Bognanco,Verbano-Cusio-Ossola,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
3021,Bogogno,Novara,11,8.62,1276,Dati aggiornati al 14.10.2022 ore 18:30
1027,Bollengo,Torino,23,10.61,2168,Dati aggiornati al 14.10.2022 ore 18:30
3022,Bolzano Novarese,Novara,10,8.35,1198,Dati aggiornati al 14.10.2022 ore 18:30
4023,Bonvicino,Cuneo,1,10.2,98,Dati aggiornati al 14.10.2022 ore 18:30
1028,Borgaro Torinese,Torino,104,8.73,11913,Dati aggiornati al 14.10.2022 ore 18:30
6018,Borghetto Di Borbera,Alessandria,19,9.71,1957,Dati aggiornati al 14.10.2022 ore 18:30
1029,Borgiallo,Torino,4,6.8,588,Dati aggiornati al 14.10.2022 ore 18:30
2015,Borgo D'Ale,Vercelli,17,7.26,2342,Dati aggiornati al 14.10.2022 ore 18:30
4025,Borgo San Dalmazzo,Cuneo,136,10.93,12443,Dati aggiornati al 14.10.2022 ore 18:30
6020,Borgo San Martino,Alessandria,13,9.3,1398,Dati aggiornati al 14.10.2022 ore 18:30
3025,Borgo Ticino,Novara,33,6.39,5164,Dati aggiornati al 14.10.2022 ore 18:30
2017,Borgo Vercelli,Vercelli,10,4.44,2252,Dati aggiornati al 14.10.2022 ore 18:30
1030,Borgofranco D'Ivrea,Torino,34,9.26,3672,Dati aggiornati al 14.10.2022 ore 18:30
3023,Borgolavezzaro,Novara,9,4.43,2032,Dati aggiornati al 14.10.2022 ore 18:30
4024,Borgomale,Cuneo,3,7.79,385,Dati aggiornati al 14.10.2022 ore 18:30
3024,Borgomanero,Novara,201,9.28,21659,Dati aggiornati al 14.10.2022 ore 18:30
1031,Borgomasino,Torino,3,3.81,787,Dati aggiornati al 14.10.2022 ore 18:30
103078,Borgomezzavalle,Verbano-Cusio-Ossola,5,15.87,315,Dati aggiornati al 14.10.2022 ore 18:30
1032,Borgone Susa,Torino,39,17.66,2208,Dati aggiornati al 14.10.2022 ore 18:30
6019,Borgoratto Alessandrino,Alessandria,7,12.73,550,Dati aggiornati al 14.10.2022 ore 18:30
2016,Borgosesia,Vercelli,119,9.47,12566,Dati aggiornati al 14.10.2022 ore 18:30
96006,Borriana,Biella,11,12.57,875,Dati aggiornati al 14.10.2022 ore 18:30
6021,Bosco Marengo,Alessandria,22,9.32,2361,Dati aggiornati al 14.10.2022 ore 18:30
1033,Bosconero,Torino,23,7.34,3134,Dati aggiornati al 14.10.2022 ore 18:30
4026,Bosia,Cuneo,1,5.56,180,Dati aggiornati al 14.10.2022 ore 18:30
6022,Bosio,Alessandria,5,4.24,1179,Dati aggiornati al 14.10.2022 ore 18:30
4027,Bossolasco,Cuneo,3,4.7,638,Dati aggiornati al 14.10.2022 ore 18:30
4028,Boves,Cuneo,81,8.25,9818,Dati aggiornati al 14.10.2022 ore 18:30
6023,Bozzole,Alessandria,5,14.97,334,Dati aggiornati al 14.10.2022 ore 18:30
4029,Bra,Cuneo,197,6.64,29669,Dati aggiornati al 14.10.2022 ore 18:30
1034,Brandizzo,Torino,90,10.3,8738,Dati aggiornati al 14.10.2022 ore 18:30
4030,Briaglia,Cuneo,5,16.29,307,Dati aggiornati al 14.10.2022 ore 18:30
1035,Bricherasio,Torino,63,13.65,4615,Dati aggiornati al 14.10.2022 ore 18:30
4031,Briga Alta,Cuneo,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
3026,Briga Novarese,Novara,18,6.35,2835,Dati aggiornati al 14.10.2022 ore 18:30
6024,Brignano-Frascata,Alessandria,3,6.86,437,Dati aggiornati al 14.10.2022 ore 18:30
3027,Briona,Novara,4,3.47,1153,Dati aggiornati al 14.10.2022 ore 18:30
4032,Brondello,Cuneo,1,3.55,282,Dati aggiornati al 14.10.2022 ore 18:30
4033,Brossasco,Cuneo,13,12.4,1048,Dati aggiornati al 14.10.2022 ore 18:30
1036,Brosso,Torino,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
103013,Brovello-Carpugnino,Verbano-Cusio-Ossola,10,14.06,711,Dati aggiornati al 14.10.2022 ore 18:30
1037,Brozolo,Torino,7,16.06,436,Dati aggiornati al 14.10.2022 ore 18:30
1038,Bruino,Torino,110,12.65,8696,Dati aggiornati al 14.10.2022 ore 18:30
5010,Bruno,Asti,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
1039,Brusasco,Torino,21,13.74,1528,Dati aggiornati al 14.10.2022 ore 18:30
96007,Brusnengo,Biella,28,13.87,2019,Dati aggiornati al 14.10.2022 ore 18:30
1040,Bruzolo,Torino,16,10.48,1527,Dati aggiornati al 14.10.2022 ore 18:30
5011,Bubbio,Asti,5,5.97,838,Dati aggiornati al 14.10.2022 ore 18:30
1041,Buriasco,Torino,21,15.54,1351,Dati aggiornati al 14.10.2022 ore 18:30
1042,Burolo,Torino,9,7.87,1144,Dati aggiornati al 14.10.2022 ore 18:30
2021,Buronzo,Vercelli,7,8.11,863,Dati aggiornati al 14.10.2022 ore 18:30
1043,Busano,Torino,8,4.89,1636,Dati aggiornati al 14.10.2022 ore 18:30
4034,Busca,Cuneo,92,9.04,10177,Dati aggiornati al 14.10.2022 ore 18:30
1044,Bussoleno,Torino,85,14.31,5940,Dati aggiornati al 14.10.2022 ore 18:30
1045,Buttigliera Alta,Torino,87,13.58,6406,Dati aggiornati al 14.10.2022 ore 18:30
5012,Buttigliera D'Asti,Asti,31,12.2,2541,Dati aggiornati al 14.10.2022 ore 18:30
6025,Cabella Ligure,Alessandria,5,9.94,503,Dati aggiornati al 14.10.2022 ore 18:30
1046,Cafasse,Torino,43,12.59,3415,Dati aggiornati al 14.10.2022 ore 18:30
5013,Calamandrana,Asti,11,6.36,1730,Dati aggiornati al 14.10.2022 ore 18:30
103014,Calasca-Castiglione,Verbano-Cusio-Ossola,11,18.0,611,Dati aggiornati al 14.10.2022 ore 18:30
96008,Callabiana,Biella,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
5014,Calliano,Asti,4,3.13,1278,Dati aggiornati al 14.10.2022 ore 18:30
5015,Calosso,Asti,11,8.84,1244,Dati aggiornati al 14.10.2022 ore 18:30
