Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
1181,Pavone Canavese,Torino,20,5.2,3846,Dati aggiornati al 17.05.2022 ore 18:30
1183,Pecetto Torinese,Torino,36,8.9,4045,Dati aggiornati al 17.05.2022 ore 18:30
1184,Perosa Argentina,Torino,31,9.78,3170,Dati aggiornati al 17.05.2022 ore 18:30
1185,Perosa Canavese,Torino,3,5.77,520,Dati aggiornati al 17.05.2022 ore 18:30
1186,Perrero,Torino,1,1.55,645,Dati aggiornati al 17.05.2022 ore 18:30
1187,Pertusio,Torino,2,2.64,758,Dati aggiornati al 17.05.2022 ore 18:30
1188,Pessinetto,Torino,4,6.48,617,Dati aggiornati al 17.05.2022 ore 18:30
1189,Pianezza,Torino,71,4.61,15401,Dati aggiornati al 17.05.2022 ore 18:30
1190,Pinasca,Torino,11,3.75,2933,Dati aggiornati al 17.05.2022 ore 18:30
1191,Pinerolo,Torino,180,4.98,36145,Dati aggiornati al 17.05.2022 ore 18:30
1192,Pino Torinese,Torino,59,7.02,8405,Dati aggiornati al 17.05.2022 ore 18:30
1193,Piobesi Torinese,Torino,14,3.68,3804,Dati aggiornati al 17.05.2022 ore 18:30
1194,Piossasco,Torino,183,9.96,18373,Dati aggiornati al 17.05.2022 ore 18:30
1195,Piscina,Torino,19,5.64,3369,Dati aggiornati al 17.05.2022 ore 18:30
1196,Piverone,Torino,3,2.2,1364,Dati aggiornati al 17.05.2022 ore 18:30
1197,Poirino,Torino,50,4.8,10417,Dati aggiornati al 17.05.2022 ore 18:30
1198,Pomaretto,Torino,5,4.95,1010,Dati aggiornati al 17.05.2022 ore 18:30
1199,Pont-Canavese,Torino,11,3.34,3293,Dati aggiornati al 17.05.2022 ore 18:30
1200,Porte,Torino,6,5.8,1034,Dati aggiornati al 17.05.2022 ore 18:30
1201,Pragelato,Torino,4,5.16,775,Dati aggiornati al 17.05.2022 ore 18:30
1202,Prali,Torino,3,12.55,239,Dati aggiornati al 17.05.2022 ore 18:30
1203,Pralormo,Torino,10,5.25,1905,Dati aggiornati al 17.05.2022 ore 18:30
1204,Pramollo,Torino,4,17.86,224,Dati aggiornati al 17.05.2022 ore 18:30
1205,Prarostino,Torino,4,3.12,1282,Dati aggiornati al 17.05.2022 ore 18:30
1206,Prascorsano,Torino,3,3.98,754,Dati aggiornati al 17.05.2022 ore 18:30
1207,Pratiglione,Torino,1,1.95,513,Dati aggiornati al 17.05.2022 ore 18:30
1208,Quagliuzzo,Torino,3,9.06,331,Dati aggiornati al 17.05.2022 ore 18:30
1209,Quassolo,Torino,1,2.9,345,Dati aggiornati al 17.05.2022 ore 18:30
1210,Quincinetto,Torino,4,3.88,1031,Dati aggiornati al 17.05.2022 ore 18:30
1211,Reano,Torino,12,6.76,1775,Dati aggiornati al 17.05.2022 ore 18:30
1212,Ribordone,Torino,1,20.41,49,Dati aggiornati al 17.05.2022 ore 18:30
1215,Riva Presso Chieri,Torino,27,5.69,4745,Dati aggiornati al 17.05.2022 ore 18:30
1213,Rivalba,Torino,26,22.55,1153,Dati aggiornati al 17.05.2022 ore 18:30
1214,Rivalta Di Torino,Torino,127,6.33,20063,Dati aggiornati al 17.05.2022 ore 18:30
1216,Rivara,Torino,9,3.48,2586,Dati aggiornati al 17.05.2022 ore 18:30
1217,Rivarolo Canavese,Torino,59,4.73,12474,Dati aggiornati al 17.05.2022 ore 18:30
1218,Rivarossa,Torino,9,5.65,1593,Dati aggiornati al 17.05.2022 ore 18:30
1219,Rivoli,Torino,329,6.78,48525,Dati aggiornati al 17.05.2022 ore 18:30
1220,Robassomero,Torino,21,6.85,3066,Dati aggiornati al 17.05.2022 ore 18:30
1221,Rocca Canavese,Torino,10,5.83,1715,Dati aggiornati al 17.05.2022 ore 18:30
1222,Roletto,Torino,8,3.93,2036,Dati aggiornati al 17.05.2022 ore 18:30
1223,Romano Canavese,Torino,17,6.41,2652,Dati aggiornati al 17.05.2022 ore 18:30
1224,Ronco Canavese,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1225,Rondissone,Torino,7,3.71,1887,Dati aggiornati al 17.05.2022 ore 18:30
1226,Rora',Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1228,Rosta,Torino,28,5.65,4956,Dati aggiornati al 17.05.2022 ore 18:30
1227,Roure,Torino,7,8.78,797,Dati aggiornati al 17.05.2022 ore 18:30
1229,Rubiana,Torino,15,6.32,2373,Dati aggiornati al 17.05.2022 ore 18:30
1230,Rueglio,Torino,4,5.15,777,Dati aggiornati al 17.05.2022 ore 18:30
1231,Salassa,Torino,7,3.78,1852,Dati aggiornati al 17.05.2022 ore 18:30
1232,Salbertrand,Torino,1,1.62,617,Dati aggiornati al 17.05.2022 ore 18:30
1233,Salerano Canavese,Torino,2,4.23,473,Dati aggiornati al 17.05.2022 ore 18:30
1234,Salza Di Pinerolo,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1235,Samone,Torino,18,11.39,1580,Dati aggiornati al 17.05.2022 ore 18:30
1236,San Benigno Canavese,Torino,22,3.65,6027,Dati aggiornati al 17.05.2022 ore 18:30
1237,San Carlo Canavese,Torino,14,3.48,4023,Dati aggiornati al 17.05.2022 ore 18:30
1238,San Colombano Belmonte,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1239,San Didero,Torino,3,5.56,540,Dati aggiornati al 17.05.2022 ore 18:30
1240,San Francesco Al Campo,Torino,33,6.72,4911,Dati aggiornati al 17.05.2022 ore 18:30
1242,San Germano Chisone,Torino,7,3.98,1759,Dati aggiornati al 17.05.2022 ore 18:30
1243,San Gillio,Torino,11,3.45,3188,Dati aggiornati al 17.05.2022 ore 18:30
1244,San Giorgio Canavese,Torino,17,6.62,2568,Dati aggiornati al 17.05.2022 ore 18:30
1245,San Giorio Di Susa,Torino,17,17.58,967,Dati aggiornati al 17.05.2022 ore 18:30
1246,San Giusto Canavese,Torino,30,8.94,3356,Dati aggiornati al 17.05.2022 ore 18:30
1247,San Martino Canavese,Torino,6,7.34,817,Dati aggiornati al 17.05.2022 ore 18:30
1248,San Maurizio Canavese,Torino,68,6.59,10319,Dati aggiornati al 17.05.2022 ore 18:30
1249,San Mauro Torinese,Torino,160,8.46,18913,Dati aggiornati al 17.05.2022 ore 18:30
1250,San Pietro Val Lemina,Torino,7,4.94,1417,Dati aggiornati al 17.05.2022 ore 18:30
1251,San Ponso,Torino,2,7.91,253,Dati aggiornati al 17.05.2022 ore 18:30
1252,San Raffaele Cimena,Torino,23,7.38,3117,Dati aggiornati al 17.05.2022 ore 18:30
1253,San Sebastiano Da Po,Torino,11,5.68,1937,Dati aggiornati al 17.05.2022 ore 18:30
1254,San Secondo Di Pinerolo,Torino,13,3.59,3621,Dati aggiornati al 17.05.2022 ore 18:30
