Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
4171,Polonghera,Cuneo,8,7.02,1140,Dati aggiornati al 29.04.2022 ore 18:30
4172,Pontechianale,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4173,Pradleves,Cuneo,3,13.04,230,Dati aggiornati al 29.04.2022 ore 18:30
4174,Prazzo,Cuneo,1,5.85,171,Dati aggiornati al 29.04.2022 ore 18:30
4175,Priero,Cuneo,2,3.82,524,Dati aggiornati al 29.04.2022 ore 18:30
4176,Priocca,Cuneo,9,4.52,1991,Dati aggiornati al 29.04.2022 ore 18:30
4177,Priola,Cuneo,16,23.29,687,Dati aggiornati al 29.04.2022 ore 18:30
4178,Prunetto,Cuneo,4,9.46,423,Dati aggiornati al 29.04.2022 ore 18:30
4179,Racconigi,Cuneo,54,5.43,9945,Dati aggiornati al 29.04.2022 ore 18:30
4180,Revello,Cuneo,24,5.62,4270,Dati aggiornati al 29.04.2022 ore 18:30
4181,Rifreddo,Cuneo,3,2.87,1045,Dati aggiornati al 29.04.2022 ore 18:30
4182,Rittana,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4183,Roaschia,Cuneo,2,18.69,107,Dati aggiornati al 29.04.2022 ore 18:30
4184,Roascio,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4185,Robilante,Cuneo,53,23.45,2260,Dati aggiornati al 29.04.2022 ore 18:30
4186,Roburent,Cuneo,3,6.11,491,Dati aggiornati al 29.04.2022 ore 18:30
4188,Rocca Ciglie',Cuneo,5,37.31,134,Dati aggiornati al 29.04.2022 ore 18:30
4189,Rocca De' Baldi,Cuneo,19,11.71,1623,Dati aggiornati al 29.04.2022 ore 18:30
4187,Roccabruna,Cuneo,14,9.02,1552,Dati aggiornati al 29.04.2022 ore 18:30
4190,Roccaforte Mondovi',Cuneo,23,10.73,2144,Dati aggiornati al 29.04.2022 ore 18:30
4191,Roccasparvera,Cuneo,11,14.8,743,Dati aggiornati al 29.04.2022 ore 18:30
4192,Roccavione,Cuneo,21,7.92,2652,Dati aggiornati al 29.04.2022 ore 18:30
4193,Rocchetta Belbo,Cuneo,2,12.5,160,Dati aggiornati al 29.04.2022 ore 18:30
4194,Roddi,Cuneo,8,4.91,1629,Dati aggiornati al 29.04.2022 ore 18:30
4195,Roddino,Cuneo,2,4.84,413,Dati aggiornati al 29.04.2022 ore 18:30
4196,Rodello,Cuneo,14,14.63,957,Dati aggiornati al 29.04.2022 ore 18:30
4197,Rossana,Cuneo,2,2.31,866,Dati aggiornati al 29.04.2022 ore 18:30
4198,Ruffia,Cuneo,2,5.51,363,Dati aggiornati al 29.04.2022 ore 18:30
4199,Sale Delle Langhe,Cuneo,7,13.81,507,Dati aggiornati al 29.04.2022 ore 18:30
4200,Sale San Giovanni,Cuneo,1,5.81,172,Dati aggiornati al 29.04.2022 ore 18:30
4201,Saliceto,Cuneo,13,10.35,1256,Dati aggiornati al 29.04.2022 ore 18:30
4202,Salmour,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4203,Saluzzo,Cuneo,109,6.32,17247,Dati aggiornati al 29.04.2022 ore 18:30
4204,Sambuco,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4205,Sampeyre,Cuneo,8,8.06,993,Dati aggiornati al 29.04.2022 ore 18:30
4206,San Benedetto Belbo,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4207,San Damiano Macra,Cuneo,3,7.35,408,Dati aggiornati al 29.04.2022 ore 18:30
4210,San Michele Mondovi',Cuneo,16,8.28,1932,Dati aggiornati al 29.04.2022 ore 18:30
4208,Sanfre',Cuneo,38,12.49,3042,Dati aggiornati al 29.04.2022 ore 18:30
4209,Sanfront,Cuneo,12,5.1,2353,Dati aggiornati al 29.04.2022 ore 18:30
4211,Sant'Albano Stura,Cuneo,17,7.19,2364,Dati aggiornati al 29.04.2022 ore 18:30
4212,Santa Vittoria D'Alba,Cuneo,14,4.88,2869,Dati aggiornati al 29.04.2022 ore 18:30
4213,Santo Stefano Belbo,Cuneo,26,6.46,4025,Dati aggiornati al 29.04.2022 ore 18:30
4214,Santo Stefano Roero,Cuneo,15,10.95,1370,Dati aggiornati al 29.04.2022 ore 18:30
4215,Savigliano,Cuneo,158,7.31,21614,Dati aggiornati al 29.04.2022 ore 18:30
4216,Scagnello,Cuneo,3,17.14,175,Dati aggiornati al 29.04.2022 ore 18:30
4217,Scarnafigi,Cuneo,6,2.81,2135,Dati aggiornati al 29.04.2022 ore 18:30
4218,Serralunga D'Alba,Cuneo,9,15.65,575,Dati aggiornati al 29.04.2022 ore 18:30
