comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Cossano Belbo,004074,Cuneo,2,2.1
Cossano Canavese,001095,Torino,1,2.06
Cossato,096020,Biella,43,2.96
Cossogno,103023,Verbano-Cusio-Ossola,2,2.95
Cossombrato,005049,Asti,2,3.94
Costa Vescovato,006062,Alessandria,3,9.17
Costanzana,002047,Vercelli,6,7.93
Costigliole D'Asti,005050,Asti,16,2.77
Costigliole Saluzzo,004075,Cuneo,7,2.12
Cravagliana,002048,Vercelli,0,0.0
Cravanzana,004076,Cuneo,2,5.48
Craveggia,103024,Verbano-Cusio-Ossola,10,13.12
Cremolino,006063,Alessandria,0,0.0
Crescentino,002049,Vercelli,136,17.47
Cressa,003055,Novara,7,4.36
Crevacuore,096021,Biella,8,5.34
Crevoladossola,103025,Verbano-Cusio-Ossola,78,16.96
Crissolo,004077,Cuneo,2,12.12
Crodo,103026,Verbano-Cusio-Ossola,4,2.86
Crova,002052,Vercelli,0,0.0
Cuceglio,001096,Torino,2,2.02
Cumiana,001097,Torino,45,5.7
Cuneo,004078,Cuneo,173,3.08
Cunico,005051,Asti,0,0.0
Cuorgne',001098,Torino,46,4.75
Cureggio,003058,Novara,11,4.17
Curino,096023,Biella,0,0.0
Demonte,004079,Cuneo,2,1.02
Denice,006065,Alessandria,0,0.0
Dernice,006066,Alessandria,0,0.0
Desana,002054,Vercelli,1,0.94
Diano D'Alba,004080,Cuneo,15,4.14
Divignano,003060,Novara,10,7.07
Dogliani,004081,Cuneo,29,6.18
Domodossola,103028,Verbano-Cusio-Ossola,126,6.94
Donato,096024,Biella,0,0.0
Dormelletto,003062,Novara,13,5.03
Dorzano,096025,Biella,0,0.0
Dronero,004082,Cuneo,32,4.56
Druento,001099,Torino,55,6.21
Druogno,103029,Verbano-Cusio-Ossola,10,9.4
Dusino San Michele,005052,Asti,6,5.73
Elva,004083,Cuneo,0,0.0
Entracque,004084,Cuneo,1,1.16
Envie,004085,Cuneo,21,10.56
Exilles,001100,Torino,0,0.0
Fabbrica Curone,006067,Alessandria,0,0.0
Fara Novarese,003065,Novara,8,3.93
Farigliano,004086,Cuneo,3,1.69
Faule,004087,Cuneo,3,6.15
Favria,001101,Torino,42,8.0
Feisoglio,004088,Cuneo,0,0.0
Feletto,001102,Torino,11,4.86
Felizzano,006068,Alessandria,10,4.44
Fenestrelle,001103,Torino,6,11.76
Ferrere,005053,Asti,7,4.5
Fiano,001104,Torino,20,7.5
Fiorano Canavese,001105,Torino,0,0.0
Fobello,002057,Vercelli,0,0.0
Foglizzo,001106,Torino,6,2.59
Fontaneto D'Agogna,003066,Novara,19,7.17
Fontanetto Po,002058,Vercelli,5,4.53
Fontanile,005054,Asti,1,1.81
Formazza,103031,Verbano-Cusio-Ossola,0,0.0
Formigliana,002059,Vercelli,2,3.97
Forno Canavese,001107,Torino,59,17.69
Fossano,004089,Cuneo,98,4.05
Frabosa Soprana,004090,Cuneo,1,1.33
Frabosa Sottana,004091,Cuneo,7,4.58
Fraconalto,006069,Alessandria,0,0.0
Francavilla Bisio,006070,Alessandria,0,0.0
Frascaro,006071,Alessandria,1,2.31
Frassinello Monferrato,006072,Alessandria,0,0.0
Frassineto Po,006073,Alessandria,0,0.0
Frassinetto,001108,Torino,0,0.0
Frassino,004092,Cuneo,0,0.0
Fresonara,006074,Alessandria,1,1.49
Frinco,005055,Asti,0,0.0
Front,001109,Torino,8,4.88
Frossasco,001110,Torino,24,8.37
Frugarolo,006075,Alessandria,4,2.05
Fubine,006076,Alessandria,10,6.23
Gabiano,006077,Alessandria,4,3.65
Gaglianico,096026,Biella,12,3.21
Gaiola,004093,Cuneo,3,5.15
Galliate,003068,Novara,49,3.12
Gamalero,006078,Alessandria,2,2.42
Gambasca,004094,Cuneo,0,0.0
Garbagna,006079,Alessandria,0,0.0
Garbagna Novarese,003069,Novara,2,1.4
Garessio,004095,Cuneo,17,5.56
Gargallo,003070,Novara,24,13.58
Garzigliana,001111,Torino,0,0.0
Gassino Torinese,001112,Torino,95,9.94
Gattico-Veruno,003166,Novara,46,8.74
Gattinara,002061,Vercelli,38,4.86
Gavi,006081,Alessandria,11,2.45
Genola,004096,Cuneo,14,5.28
Germagnano,001113,Torino,7,6.0
Germagno,103032,Verbano-Cusio-Ossola,1,5.26
Ghemme,003073,Novara,15,4.29
Ghiffa,103033,Verbano-Cusio-Ossola,9,3.82
Ghislarengo,002062,Vercelli,0,0.0
Giaglione,001114,Torino,0,0.0
Giarole,006082,Alessandria,0,0.0
Giaveno,001115,Torino,65,3.97
Gifflenga,096027,Biella,0,0.0
Gignese,103034,Verbano-Cusio-Ossola,4,3.82
Givoletto,001116,Torino,6,1.52
Gorzegno,004097,Cuneo,0,0.0
Gottasecca,004098,Cuneo,0,0.0
Govone,004099,Cuneo,6,2.71
Gozzano,003076,Novara,40,7.19
Graglia,096028,Biella,1,0.66
Grana,005056,Asti,3,5.04
Granozzo Con Monticello,003077,Novara,3,2.17
Gravellona Toce,103035,Verbano-Cusio-Ossola,22,2.82
Gravere,001117,Torino,6,8.88
Grazzano Badoglio,005057,Asti,0,0.0
Greggio,002065,Vercelli,0,0.0
Gremiasco,006083,Alessandria,0,0.0
Grignasco,003079,Novara,16,3.57
Grinzane Cavour,004100,Cuneo,12,5.92
Grognardo,006084,Alessandria,0,0.0
Grondona,006085,Alessandria,15,30.67
Groscavallo,001118,Torino,2,10.05
Grosso,001119,Torino,4,3.9
Grugliasco,001120,Torino,203,5.4
Guardabosone,002066,Vercelli,0,0.0
Guarene,004101,Cuneo,24,6.68
Guazzora,006086,Alessandria,0,0.0
Gurro,103036,Verbano-Cusio-Ossola,0,0.0
Igliano,004102,Cuneo,0,0.0
Incisa Scapaccino,005058,Asti,17,7.78
Ingria,001121,Torino,0,0.0
Intragna,103037,Verbano-Cusio-Ossola,0,0.0
Inverso Pinasca,001122,Torino,4,5.7
Invorio,003082,Novara,14,3.19
Isasca,004103,Cuneo,0,0.0
Isola D'Asti,005059,Asti,8,3.94
Isola Sant'Antonio,006087,Alessandria,1,1.46
Isolabella,001123,Torino,1,2.61
Issiglio,001124,Torino,9,23.26
Ivrea,001125,Torino,96,4.1
La Cassa,001126,Torino,10,5.55
La Loggia,001127,Torino,49,5.54
La Morra,004105,Cuneo,10,3.61
Lagnasco,004104,Cuneo,9,6.28
Lamporo,002067,Vercelli,7,13.78
Landiona,003083,Novara,1,1.78
Lanzo Torinese,001128,Torino,23,4.59
Lauriano,001129,Torino,4,2.79
Leini',001130,Torino,60,3.65
Lemie,001131,Torino,0,0.0
